Application,How to Access,Total Unit Running Time,Subject,Experience 1 Title,Experience 1 Type,Experience 1 Run Time,Experience 1 Standards,Experience 1 Description,Experience 2 Title,Experience 2 Type,Experience 2 Run Time,Experience 2 Standards,Experience 2 Description,Experience 3 Title,Experience 3 Type,Experience 3 Run Time,Experience 3 Standards,Experience 3 Description,Experience 4 Title,Experience 4 Type,Experience 4 Run Time,Experience 4 Standards,Experience 4 Description,Experience 5 Title,Experience 5 Type,Experience 5 Run Time,Experience 5 Standards,Experience 5 Description
Adapt and Move Forward 1 Space,ArborXR,30-40 Minutes,Biology: Life Science,Nags Head Beach,VR Field Trip,7:18,"NGSS: MS-LS4-4, MS-LS4-6","Bask on the sunny banks of Nags Head Beach, NC with VVR Host, Steve Grubbs, while learning about natural selection and adaptation. At a cordoned off area protecting endangered sea turtle eggs,
Steve discusses which reproductive habits these turtles employ to try and preserve their species.
For more information visit: NestOnline.org/",Racing for Answers,Interactive Experience,Self-paced,,"Students are motivated to learn as they drive their virtual race car around the track. Each lap presents a new prompt based on unit content. As they drive around the track, racers are presented with sets of answer options. In order to tag the correct answer, they move the car to the right or left
(by turning their heads) to run over their selection. The more correct answers they drive over, the higher score they will earn. Racers select their driving speed for a comfortable pace.",Consider the Whale,2D Video,6:33,"NGSS: MS-LS4-1, MS-LS4-2, MS-LS4-4","Topics Covered
• Evolution of whales
• Concepts of fitness, adaptation, competition, natural selection",Charles Darwin,Virtual Comic Book,Self-paced,,"Topics Covered
• Darwin’s experiences and discoveries
aboard the HMS Beagle
• Darwin’s theories of natural selection
and evolution",Snake Charming with Wendy,360 Video,9:09,"NGSS: MS-LS4-2, MS-LS4-6","Topics Covered
• Evolution of snakes
• Characteristics of constrictors
• Pythons and boas up close"
Adventure Learning Inside Humans,ArborXR,35-45 Minutes,Biology: Life Science,Hierarchy Of Multicellular Organisms,VR Field Trip,7:44,NGSS: HS-LS1-2,"Join VVR Host, Steve Grubbs, as he travels to Mexico and Singapore to demonstrate the hierarchy of interrelated systems in multicellular organisms. Focusing on plant life examples: the banyan trees in
a Mexican bay, as well as various plant life abounding in Singapore’s Gardens by the Bay, students will have a better grasp about the connectedness of internal systems, their impacts on one another,
and their role in helping the organism survive. For more information on the Singapore gardens, visit http:gardensbythebay.com.sg/en.html",Virus Alert! Investigating The Flu,Interactive Experience,Self-paced,NGSS: HS-LS1-3,"Students participate in a ""medical"" evaluation and observe a patient who exhibits flu symptoms. Over the course of the exam, students will learn about homeostasis and its importance to the human body. As each symptom manifests within the patient, an oversized brain highlights which part
is regulating the body’s response. Simultaneously, a “doctor” explains the why of each scenario.",The Hierarchy Of Life,2D Video,8:18,NGSS: HS-LS1-2,"Topics Covered
• Components of a multicellular organism
• Concept of interacting systems
• Human body systems defined",Maintaining A Balance,2D Video,8:18,NGSS: HS-HS-LS1-3,"Topics Covered
• Homeostasis, Succession, Equilibrium
• Positive vs Negative feedback systems
• Afferent vs Efferent pathways",Chiropractic With Wendy,360 Video,7:52,NGSS: HS-LS1-2,"Vocabulary: chiropractic, osteology
Topics Covered
• Impact of structure on function
• Various spinal conditions"
Adventures In Space: Black Holes & Beyond,ArborXR,35-45 minutes,Earth & Space Science,Full Solar Eclipse,VR Field Trip,9:18,NGSS: HS-ESS1-4,"Hitch a spot in the Path of Totality with VVR Host, Steve Grubbs, to experience a full solar eclipse. Nestled in the Mark Twain National Park in Missouri, Steve identifies the corona and the diamond ring as the moon moves over the sun. Also learn about why the temperature drops and the animals in the area go quiet--no eclipse glasses required! For more information, please visit eclipse2017.org/2017/path_through_the_US.htm",Traveling The Universe,Interactive Experience,Self-paced,,"Experience the galaxy's finest sights up close as you travel the universe aboard our modern spacecraft at warp speed. Learn facts about comets, the Milky Way, our solar system, the Sombrero Galaxy, black holes, the Alpha Centauri Group, and Algol Variables as you maneuver through this space neighborhood.",A Star Is Born,2D Video ,5:35,"NGSS: HS-ESS1-1, HS-ESS1-3","Topics Covered: Process of nuclear fusion, Concepts of nebula, thermal radiation, 3 stages of star death",The Theory of the Big Bang,2D Video,Self-paced,NGSS: HS-ESS1-2,"Topics Covered: Timeline of the Big Bang, Hubble's Law, CMB radiation, Concepts of inflation, cosmic acceleration, falsifiable",Fusing With Wendy,360 Video,6:42,"NGSS: HS-ESS 1-1, HS-ESS1-3","Vocabulary: convection; nuclear fusion. Topics Covered: Process of hydrogen fusion (in the lab), Purpose of a plasma lab, Goal & process of nuclear fusion."
Aim High Optimize,ArborXR,30-40 minutes,Engineering Design,Quad Cities Skate Park,VR Field Trip,7:25,MS-ETS1-4,"Amid the numerous active skaters at Quad Cities Skate Park, VVR Host, Steve Grubbs, recounts the evolution of the skateboard as illustrated through the optimization process of engineering design. The history of skate parks is revealed as well, in addition to proper safety gear and why it’s important when participating in this fast-paced, daredevil activity.",Word Search,Interactive Experience,Self-paced,,"Based on a traditional word search, students stand in a 360* cylinder with letters spanning the floor to the ceiling. Hidden within the mass of letters are terms from the lesson they experience in this unit. By staring at the first letter of a vocabulary word, students start a yellow line that runs across
a word as they move their head. Once students get to the last letter, they pause and allow the word
to be fully highlighted and checked off the list.",Optimization,2D Video,Self-paced*,"MS-ETS1-3, MS-ETS1-4","Topics Covered
• Steps and benefits of optimization process
• Thomas Edison and his iterative work toward
perfecting the light bulb",Good Better Best,2D Video,7:10,MS-ETS1-4,"Topics Covered
• Demonstration of iterative process through
surfboard design
• Stages of optimization",Cooking with Wendy,360 Video,9:39,MS-ETS1-4,"Topics Covered
• Mashed potato recipe and process used to
highlight optimization efficiencies
• “Science” of cooking explained"
Ancient Adventures,ArborXR,30-40 minutes,Earth & Space Science,Silver Lake Sand Dunes,VR Field Trip,6:31,HS-ESS2-1,Ride along in a Mac Woods dune scooter with VVR Host Steve Grubbs as he navigates through the sand dunes\nof Lake Michigan’s western shoreline Students will learn about sand formation and Aeolian processes as they cruise\nalong and take in the sights at this spectacular state park,Clock of Life,Interactive Experience,Self-paced,LS3-1,Hop into the VictoryVR time machine to check out what life has been like over Earth’s development\nStudents can use the giant timepiece in front of them to select between six different periods of Earth’s history\nTake special note of how much time on the clock that each era takes up,Earth’s Surface,2D Video,7:29,HS-ESS1-6,Relative dating vs Radiometric dating\nGiant Impact Hypothesis\nAttributes of the geologic record,Earth’s Processes,2D Video,8:02,HS-ESS2-1,Plate tectonics\nTypes of boundaries & crusts\nAppalachian vs Himalayan Mountains,Crater Exploring With Wendy,360 Video,5:23,HS-ESS1-6,Constructive vs Destructive forces\nLava flows and volcano types
Cataclysmic Earth,ArborXR,30-40 minutes,Earth & Space Science,Iceland’s Geographical Impacts,VR Field Trip,4:53,HS-ESS2-4 HS-ESS2-5,Brave the cold with VVR Host Steve Grubbs to get a glimpse of various spots around Reykjavik\nIceland The Blue Lagoon a geyser and a tranquil waterfall. The geography of this land\nformed from volcanic eruptions over time helps tell the story about environmental impacts to\nclimate change.,Neon Pulse,Interactive Experience,Self-paced,,Fashioned in a 1980s aesthetic this interactive game allows students to choose their racing level\nand then maneuver their vehicles while answering questions based on unit content. Physics-based\ndriving controls and track design seamlessly blend learning and gaming along the colorful routes.\nShortcut opportunities embedded in the tracks are awarded for skilled driving and quick thinking.,Tornado Ted,2D Video,7:08,HS-ESS2-4,Topics Covered \n• Mini-biography on Tetsuya Fujita\n• Characteristics of tornadoes\n• Tornado tracking technology,Biodiversity: Interrelatedness,Journey,Self-paced,HS-ESS3-5,Topics Covered\n• Human impact on biodiversity\n• Climate problems associated with CO2\n• The Greenhouse Effect and global warming,Monitoring Glaciers With Wendy,360 Video,7:40,HS-ESS3-5,Topics Covered\n• Retreating vs Advancing glaciers\n• Global climate change & glacier status
Cell Tour Galore,ArborXR,25-35 minutes,Biology: Life Science,Therapy Dog Clinic,VR Field Trip,5:25,MS-LS1-8,Join VVR Host Steve Grubbs as you wash your worries away at the therapy dog clinic along with\nGizmo and his handler Katie Grant licensed psychotherapist. Learn about the effects of biochemicals\nspecifically oxytocin and how its varying levels affect our nervous system. Gain a better understanding\nof therapy dogs and their positive impact for humans particularly after traumatic and stressful events.,Cell Tour,Interactive Experience,Self-paced,,Students step into a laboratory with a 10-ft human cell that slowly rotates revealing its many parts.\nInteracting with this animated virtual cell students get to see the sizes shapes and scales of the\ninterworking components. The various functions of the cell parts and how they interact with each other\nare revealed by brief pop-ups that appear as students stare at any of the brightly-colored elements.,Cell City,2D Video,6:39,MS-LS1-2 MS-LS1-3,Topics Covered \n• Cell parts structure & function\n• DNA vs. RNA\n• Cell and systems synergy,How We Work,2D Video,6:46,MS-LS1-3 MS-LS1-8,Topics Covered\n• Body systems\n• Connection and complexity of body systems,Exploring Organs With Wendy,360 Video,6:23,MS-LS1-1 MS-LS1-3,Topics Covered\n• Characteristics of cells\n• Tissue types body systems\n• Mammals heart kidney brain
Circle of Life,ArborXR,30-40 minutes,Biology: Life Science,Nahant Marsh Apiary,VR Field Trip,6:01,MS-LS4-4 MS-LS4-5,This site is abuzz with facts and other information about the current conditions for bees.\nOn location at an apiary and in full bee garb VVR Host Steve Grubbs reveals threats to our bee\npopulation such as Colony Collapse Disease as well as the pesky Varroa Mite. Find out what is\nbeing done to combat these issues.,Word Search,Interactive Experience,Self-paced,,Based on a traditional word search students stand in a 360° cylinder with letters spanning the floor\nto the ceiling. Hidden within the mass of letters are terms from the lessons they experience in this unit.\nBy staring at the first letter of a vocabulary word students start a yellow line that runs across a word as\nthey move their head. Once students get to the last letter they pause and allow the word to be fully\nhighlighted and checked off the list.,Animal Reproduction,Virtual Comic Book,5:50,MS-LS1-4,Topics Covered \n• External vs. internal fertilization\n• Process of sexual reproduction including courtship\n mating fertilization and offspring,Plant Reproduction,Journey,6:18,MS-LS1-4 MS-LS3-2,Topics Covered\n• Concepts of vegetative propagation\n sporogenesis fragmentation\n self-fertilization and apomixis\n• Asexual vs. sexual reproduction,Fishing with Wendy,360 Video,9:58,MS-LS1-4 MS-LS1-5,Topics Covered\n• Purpose and function of fish hatcheries\n• Optimal breeding conditions for Walleye
DNA Crack The Code,ArborXR,30-40 minutes,Biology: Life Science,Cinnamon Ridge Farm IA,VR Field Trip,13:26,MS-LS4-4 MS-LS4-6,On a mechanized dairy farm in the Midwest VVR Host Steve Grubbs and John Maxwell farm\nfounder and owner discuss modern farming practices. The topics of selective breeding robotic farming\nand plant/fruit crossbreeding are reviewed. Natural breeding vs. GMOs is covered too—you will never\nlook at apples the same way again. View this trip to see the future of agriculture on this high-tech farm.,Escape Castle,Interactive Experience,Self-paced,,Learners start deep in the VictoryVR Castle which rests on a remote island. The goal is to escape the\ncastle and reach the gates but at each door stands a troll blocking the exit. To make it past the troll\nin each room students accurately respond to a question or puzzle. An incorrect answer provides\nstudents another opportunity at the prompt. After three wrong responses the game resets.,Rosalind Franklin,Virtual Comic Book,Self-paced*,,Topics Covered \n• Highlights of Franklin’s life\n• Contributions toward discovery of double helix DNA,Biological Blueprints,2D Video,7:13,MS-LS4-4,Topics Covered\n• Asexual vs. sexual reproduction\n• Concepts of genetic code genes gene\nmodification mutation,Blood Drive with Wendy,360 Video,6:51,MS-LS3-1 MS-LS4-5,Topics Covered\n• Characteristics and symptoms of sickle cell anemia\n• Process and benefits of gene therapy
Expeditions in Ecology,ArborXR,30-40 minutes,Earth & Space Science,“Green” Materials,VR Field Trip,4:55,HS-ESS1-1 HS-ESS3-2 HS-ESS3-3,Meet up with VVR Host Steve Grubbs in the Bayou of Louisiana as he examines green construction\npost-Hurricane Katrina. Learning about how the city of New Orleans is building in a more sustainable way in\nmany cases constructing LEED certified buildings students will see how this below-sea-level city is getting its\ngreen on.,Clouds Over Yonder,Interactive Experience,Self-paced,,Students control their flight through the sky while diving through rings as the way to select correct answers to\nquestions posed in the clouds. Leaning forward and slightly turning their body allows students to control their\nflight speed and direction avoiding abstract hazards in the atmosphere as they recall information they learned\nwhile completing other pieces of this unit.,Goodness Gracious Great Garbage Gyres,2D Video,5:42,HS-ESS3-4,Topics Covered \n• Cause & effect of plastic gyres in the ocean\n• Hazards of plastic to marine life\n• The Ocean Cleanup Project,Jambo The Whale Shark,2D Video,7:04,HS-ESS3-4 HS-ESS3-6,Topics Covered\n• Ocean acidification by CO2\n• Biological magnification\n• Oil spill impacts on marine life,Repurposing With Wendy,360 Video,8:54,HS-ESS3-2,Topics Covered\n• Stages of recycling aluminum\n• Concepts of sustainability & recycling
Fiery Fiasco Up in Flames,ArborXR,25-35 minutes,Physical Science,Backyard Bonfire,VR Field Trip,6:08,MS-PS1-2 MS-PS1-5,Join VVR Host Steve Grubbs on a backyard excursion as he demonstrates a couple of different\nchemical reactions through fire and toasting marshmallows. His controlled firepit burn exemplifies the\nlaw of mass conservation while reinforcing fire safety.,Boulder Roll,Interactive Experience,Self-paced,,Learners stand atop a snowy peak on the VictoryVR Mountain as ogres charge up toward them.\nBy rolling boulders down the hill the ogres are vanquished allowing students to earn more time\nto make it to the finish. Rolling boulders is easy but to get enough of them to conquer the ogres\nstudents must correctly respond to rapid-fire questions based on the unit.,Mario Molina,Virtual Comic Book,Self-paced*,,Topics Covered \n• Biography of chemist Mario Molina\n• Molina’s research with lasers\n• Molina’s discovery of CFCs impact on the environment,When Molecules Meet,Journey,Self-paced,MS-PS1-5,Topics Covered\n• Distinction between protons electrons \n neutrons\n• 4 types of chemical reaction\n• Endothermic vs. exothermic,Flame Testing with Wendy,360 Video,5:28,MS-PS1-6,Topics Covered\n• Flame testing demo of different metals\n• Concept of thermal energy transfer
Food Around The World The Good The Bad The Stinky,ArborXR,30-40 minutes,Biology 2,Photosynthesis Around The States,VR Field Trip,6:31,HS-LS1-5,Traverse a few different geographic regions across the United States with VVR Host Jim Kent. Stopping in the very\ndiverse climates of Washington Louisiana and Minnesota as well as a botanical garden in Iowa students will\nlearn about conifers vs. flowering trees as well as how the process of photosynthesis varies from place to place.,Clouds Over Yonder,Interactive Experience,Self-paced,,Students control their flight through the sky while diving through rings as the way to select correct answers to\nquestions posed in the clouds. Leaning forward and slightly turning their body allows students to control their\nflight speed and direction avoiding abstract hazards in the atmosphere as they recall information they learned\nwhile completing other pieces of this unit.,What A Tangled Food Web,2D Video,4:52,HS-LS2-4,Topics Covered \n• Organism energy transfer\n• Food web structure\n• Cycling of matter & energy,Sugar: The Origin Story,2D Video,5:45,HS-LS1-5 HS-LS1-6 HS-LS1-7 HS-LS2-4,Topics Covered\n• Composition of ATP & ADP\n• Process of photosynthesis\n• Energy transfer,Fermentation With Wendy,360 Video,8:46,HS-LS1-7,Topics Covered\n• Aerobic vs. anaerobic respiration\n• Cellular inputs & outputs in fermented food
Forecasting Disaster,ArborXR,35-45 minutes,Earth & Space Science,Scott County Landfill,VR Field Trip,9:04,MS-ESS3-3,Find yourself immersed in the Scott County landfill with VictoryVR Host Steve Grubbs as you learn about\nthe impact of garbage on our environment. Answering questions such as Where does the garbage go?\nand What shouldn’t be thrown in the trash? are just a couple of concepts covered in this trip to the dump.,Banana Breakout,Interactive Experience,Self-paced,,Banana Breakout is similar to a traditional single-player pong game but in this version the student\naims a bunch of bananas at correct answers to a proposed question. Monkeys hold the correct\nresponses and if fed will increase the student’s score. Tigers hold incorrect answers and if they\nreceive the bananas the student’s score will decrease. Students begin with 3 lives only losing one\neach time they miss catching the bananas. The goal of this interactive game is to play through as\nmany levels of increasing speed before all lives are lost building a maximum score.,The Life & Times of John Dalton,Virtual Comic Book,Self-paced*,MS-ESS2-5,Topics Covered \n• Biography of John Dalton\n• Meteorology and color-blindness research,Climate Change,2D Video,8:18,MS-ESS3-5,Topics Covered\n• Cause and effect of greenhouse gases \n• Natural vs. man-made causes of climate change\n• Humans impact on the environment,Blizzards with Wendy,360 Video,9:06,MS-ESS2-5,Topics Covered\n• Science behind conditions of snowstorms\n• Great Blizzard of 1978\n• Effects of storms on society
Getting Cheesy in VR Exploring Biochemistry,ArborXR,30-40 minutes,Physical Science,Henning’s Cheese Factory,VR Field Trip,7:11,HS-PS1-5,Check out one of the largest cheese blocks in the world--4000 lbs--with VictoryVR Host Steve\nGrubbs as he takes you inside of this Wisconsin cheese factory. Learn about the importance of\nenzymes and the pH scale when crafting the curds as well as the entire chemical process of turning\ncow’s milk into this tasty treat.,Neon Pulse,Interactive Experience,Self-paced,,Fashioned in a 1980s aesthetic this interactive game allows students to choose their racing level and\nthen maneuver their vehicles while answering questions based on unit content. Physics-based driving\ncontrols and track design seamlessly blend learning and gaming along the colorful routes. Shortcut\nopportunities embedded in the tracks are awarded for skilled driving and quick thinking.,Pasteur & Roux: Vaccinating the Masses,Journey,Self-paced*,HS-PS2-6,Topics Covered \n• Fields of study Louis Pasteur & Emile Roux\n• Purpose & process of vaccination\n• Concepts of pasteurization & sterilization,Solar Flares & CMEs,2D Video,6:30,HS-PS1-5,Topics Covered\n• 4 States of Matter\n• Impact of geomagnetic storms,Laughing Gas With Wendy,360 Video,8:57,HS-PS2-6,Topics Covered\n• Characteristics of proteins\n• Neurotransmitters GABA & NMDA\n• The structure & function of Nitrous Oxide
